"Country","Value"
"Australia","40.5734518609"
"Austria","46.84966020337"
"Belarus","50.0563372953"
"Belgium","50.02533650619"
"Bulgaria","60.04259765486"
"Canada","62.2926081292"
"Croatia","11.0771673784"
"Cyprus","25.367291309248"
"Czechia","55.12605267196"
"Denmark","59.94312201775"
"Estonia","76.470530336611"
"European Union","53.009074615"
"Finland","40.6882018761"
"France","82.9903364973"
"Germany","21.9059749541"
"Iceland","26.024276467984"
"Ireland","55.32826019597"
"Italy","49.3771828777"
"Japan","90.1445775396"
"Lithuania","28.97420010795"
"Luxembourg","36.597671982971"
"Monaco","29.86559155034102"
"Netherlands","72.44724136374"
"New Zealand","63.17784528183"
"Norway","34.66961558834"
"Poland","61.2051675089"
"Portugal","51.9900049457"
"Romania","53.8483419402"
"Russian Federation","71.4410037172"
"Slovakia","35.34563713214"
"Spain","82.8546198436"
"Sweden","70.64056344162"
"Switzerland","32.80319016991"
"Turkey","59.3150831169"
"Ukraine","61.7538955501"
"United Kingdom","47.9099256106"
"United States of America","61.51854008"