Country,Value
Australia,98903.8171160212
Austria,6194.26156471306
Belarus,15736.3560791697
Belgium,7265.37841495616
Bulgaria,6245.90000900581
Canada,97761.4829504443
Croatia,3557.12755920784
Cyprus,889.552053243343
Czechia,12447.6344129309
Denmark,7214.56763028397
Estonia,1115.22402630542
European Union,427738.827413895
Finland,4491.5118590813
France,56465.9058943417
Germany,49271.044400825
Greece,10016.1543144802
Hungary,8238.10134166756
Iceland,569.24766884167
Ireland,14730.5229060381
Italy,42967.2854088549
Japan,28416.4699204036
Latvia,1771.24071225074
Liechtenstein,19.612847610402
Lithuania,2951.93686219014
Luxembourg,582.254204720801
Malta,201.801034349517
Monaco,1.077120861427
Netherlands,17217.0212466924
New Zealand,34621.2920834987
Norway,4565.83843726717
Poland,45276.2994952755
Portugal,9170.59736570234
Romania,22929.9878380697
Russian Federation,315420.987738911
Slovakia,3304.74168737362
Slovenia,1923.12645225938
Spain,38492.6620155961
Sweden,4213.81311552357
Switzerland,4673.22101821746
Turkey,60264.2253307274
Ukraine,69778.6380915512
United Kingdom,49499.4995611322
United States of America,659712.702850042