Country,LULUCF,without LULUCF
Australia,545152.518,0
Austria,79842.25265,0
Belarus,90115.69551,0
Belgium,116651.4891,0
Bulgaria,55955.27653,0
Canada,730244.9432,0
Croatia,23605.0206,0
Czechia,122638.5062,123297.5622
Denmark,45812.17946,46082.1767
Estonia,14699.11679,0
European Union,4057594.568,4059228.343
Finland,53021.24656,53072.45976
France,442984.6677,0
Germany,809798.5373,0
Greece,85630.94332,0
Hungary,64433.16821,0
Ireland,59777.63962,0
Italy,418280.5961,0
Japan,1209493.354,1211551.739
Netherlands,180441.295,180872.4233
New Zealand,82317.87571,0
Norway,50333.97995,0
Poland,390744.6677,0
Portugal,63469.97719,63626.30983
Romania,111767.0563,0
Russian Federation,2119432.414,0
Spain,314528.511,0
Sweden,50919.86463,0
Switzerland,46108.18657,46229.87082
Turkey,506080.4181,0
Ukraine,332114.0215,0
United Kingdom,453101.458,0
United States of America,6558345.179,0